ID,URL,NomFichier
171,https://www.vinatis.com/96268-fine_default/roubertas-2024-maitres-vignerons-de-vidauban.png,00171.png
172,https://www.vinatis.com/98203-fine_default/soplo-2023-rafael-cambra.png,00172.png
173,https://www.vinatis.com/71115-fine_default/chateau-haut-rocher-2019.png,00173.png
174,https://www.vinatis.com/96635-fine_default/miraval-2024.png,00174.png
175,https://www.vinatis.com/85750-fine_default/mademoiselle-2022-chateau-auzias.png,00175.png
176,https://www.vinatis.com/98025-fine_default/rioja-blanco-organic-2024-burgo-viejo.png,00176.png
177,https://www.vinatis.com/98627-fine_default/sauvignon-blanc-private-bin-2024-villa-maria.png,00177.png
178,https://www.vinatis.com/99302-fine_default/belleruche-rouge-2024-m-chapoutier.png,00178.png
179,https://www.vinatis.com/94344-fine_default/chateau-larroze-2022.png,00179.png
180,https://www.vinatis.com/95705-fine_default/cuvee-domaine-blanc-2024-domaine-de-fondreche.png,00180.png
181,https://www.vinatis.com/92056-fine_default/cutio-blanco-2022-j-navascues-enologia.png,00181.png
182,https://www.vinatis.com/100115-fine_default/bourgogne-cote-chalonnaise-chardonnay-la-buxynoise-2023-vignerons-de-buxy.png,00182.png
183,https://www.vinatis.com/96646-fine_default/talma-verdejo-2024-bodegas-bastida.png,00183.png
184,https://www.vinatis.com/74029-fine_default/la-terre-du-milieu-2020-sans-sulfites-ajoutes-chateau-graulet.png,00184.png
185,https://www.vinatis.com/97682-fine_default/agneau-selection-bordeaux-rose-2024-baron-philippe-de-rothschild.png,00185.png
186,https://www.vinatis.com/96742-fine_default/terrazza-d-isula-2024.png,00186.png
187,https://www.vinatis.com/99262-fine_default/sunrose-sable-de-camargue-2024.png,00187.png
188,https://www.vinatis.com/81707-fine_default/chateau-martignac-2020.png,00188.png
189,https://www.vinatis.com/93813-fine_default/a-vue-de-nez-2023-jeff-carrel.png,00189.png
190,https://www.vinatis.com/76429-fine_default/chateau-fleur-haut-gaussens-2019.png,00190.png
191,https://www.vinatis.com/98439-fine_default/la-dame-2022-terre-des-dames.png,00191.png
192,https://www.vinatis.com/85738-fine_default/quincy-2023-domaine-jm-sorbe.png,00192.png
193,https://www.vinatis.com/85847-fine_default/prestige-arabesque-2021-romain-duvernay.png,00193.png
194,https://www.vinatis.com/90253-fine_default/montfollet-le-valentin-blanc-2023.png,00194.png
